timestamp,x,y,z
0,22.58,-10.02,7.32
10,23.76,-8.68,7.95
20,24.37,-7.28,8.62
30,24.98,-6.34,8.95
40,24.99,-5.19,8.97
50,24.35,-4.29,8.92
60,23.67,-3.58,9.0
70,22.84,-3.08,8.53
80,22.33,-2.87,7.69
90,22.23,-2.88,6.93
100,21.96,-3.21,6.41
110,21.76,-3.45,6.37
120,21.61,-3.62,6.79
130,21.28,-3.96,7.62
140,20.8,-4.65,8.14
150,20.04,-5.26,8.37
160,18.82,-5.74,8.04
170,16.32,-6.25,6.75
180,12.54,-6.46,5.66
190,8.53,-7.03,5.74
200,5.02,-7.55,6.73
210,1.38,-7.53,7.74
220,-2.02,-7.76,8.68
230,-6.44,-8.0,9.51
240,-10.44,-7.8,10.14
250,-15.28,-7.45,9.1
260,-21.11,-6.82,7.04
270,-27.25,-5.19,5.13
280,-31.53,-4.34,6.3
290,-33.09,-2.76,10.24
300,-32.31,-1.32,14.16
310,-30.01,-0.4,15.92
320,-26.56,0.76,14.96
330,-23.1,1.19,12.31
340,-20.0,1.29,9.44
350,-18.13,1.84,6.39
360,-17.28,1.78,3.53
370,-17.11,2.23,1.23
380,-17.71,2.62,0.58
390,-17.33,3.06,1.22
400,-16.87,3.24,2.05
410,-15.87,3.07,3.48
420,-14.74,2.8,4.39
430,-13.5,2.33,4.58
440,-11.86,2.07,3.4
450,-9.91,1.86,1.89
460,-7.6,1.34,0.9
470,-4.78,0.85,0.97
480,-2.39,0.38,1.96
490,-0.53,-0.11,3.28
500,1.24,-0.71,4.51
510,2.63,-1.8,5.5
520,4.97,-2.84,6.15
530,8.24,-4.37,7.54
540,11.95,-5.34,9.89
550,14.54,-5.54,12.6
560,16.4,-5.38,14.81
570,16.99,-5.09,16.19
580,16.79,-5.23,16.34
590,16.31,-5.72,15.66
600,15.86,-6.2,14.72
610,15.26,-6.34,14.37
620,14.61,-6.22,15.04
630,14.04,-6.08,16.32
640,13.62,-6.05,17.75
650,13.29,-5.98,19.55
660,13.48,-6.05,20.71
670,14.41,-6.3,21.13
680,14.97,-6.69,20.6
690,15.37,-7.34,18.96
700,15.38,-8.18,16.4
710,14.07,-9.23,13.31
720,12.11,-9.44,10.4
730,8.87,-9.33,8.81
740,4.64,-9.12,8.73
750,0.94,-9.08,9.93
760,-2.98,-8.96,11.47
770,-6.54,-8.65,12.27
780,-9.46,-8.47,11.26
790,-12.56,-7.87,7.99
800,-15.5,-7.1,3.65
810,-17.53,-6.61,0.67
820,-18.16,-6.11,0.44
830,-18.24,-5.63,2.8
840,-19.27,-4.64,6.71
850,-21.85,-3.54,10.31
860,-24.61,-3.82,10.14
870,-27.64,-4.43,6.28
880,-29.01,-3.9,2.95
890,-27.19,-2.93,2.79
900,-24.27,-1.95,3.69
910,-21.71,-1.21,3.56
920,-20.17,-0.55,3.43
930,-19.2,-0.22,3.83
940,-18.63,0.18,4.24
950,-18.78,0.11,4.45
960,-20.42,-0.79,4.66
970,-20.9,-1.43,4.15
980,-21.39,-1.66,4.73
990,-20.87,-2.68,6.62
1000,-20.08,-3.29,7.42
