timestamp,x,y,z
0,26.0,-22.17,-4.98
10,21.81,-22.7,-7.66
20,18.89,-23.01,-7.1
30,17.03,-23.15,-5.24
40,14.17,-23.35,-3.27
50,11.39,-23.78,-1.91
60,9.84,-24.24,0.31
70,8.52,-24.84,3.57
80,7.3,-25.65,7.6
90,6.06,-27.11,11.1
100,2.69,-29.79,14.11
110,-3.6,-32.79,16.46
120,-13.23,-35.83,19.1
130,-25.83,-39.04,22.63
140,-39.05,-36.09,30.18
150,-55.31,-22.29,41.89
160,-68.98,-2.72,48.55
170,-67.15,-1.81,44.5
180,-53.46,-8.1,30.38
190,-40.33,-12.43,20.71
200,-30.22,-12.47,15.63
210,-23.87,-11.16,13.28
220,-20.89,-9.79,12.38
230,-18.2,-8.35,13.1
240,-15.52,-7.68,14.55
250,-13.15,-7.88,15.87
260,-11.1,-8.47,16.58
270,-9.22,-9.16,16.71
280,-7.75,-9.81,16.56
290,-6.51,-10.6,16.56
300,-5.65,-11.31,16.7
310,-4.61,-12.33,16.83
320,-3.28,-13.29,16.89
330,-1.51,-14.05,16.77
340,-0.27,-14.91,16.1
350,0.45,-16.24,15.18
360,0.65,-18.07,13.87
370,0.51,-20.22,12.01
380,0.67,-22.15,8.82
390,3.43,-24.49,5.92
400,13.92,-25.07,0.3
410,23.2,-22.96,-3.88
420,32.35,-20.4,-5.71
430,31.18,-18.0,-2.01
440,26.17,-16.89,2.02
450,21.68,-16.6,3.73
460,20.08,-16.04,3.76
470,20.29,-14.91,3.23
480,21.23,-14.06,2.52
490,20.83,-13.76,2.07
500,19.26,-13.75,1.3
510,17.13,-13.84,0.17
520,15.26,-13.93,-0.41
530,13.62,-13.86,0.1
540,12.1,-13.62,1.47
550,10.88,-13.42,2.92
560,9.7,-13.71,4.2
570,8.03,-14.51,5.66
580,6.31,-15.68,7.49
590,4.18,-16.71,9.08
600,1.62,-18.05,9.79
610,-1.33,-19.52,9.92
620,-5.5,-20.78,10.29
630,-10.05,-22.59,10.85
640,-15.61,-25.06,12.09
650,-24.21,-25.71,14.59
660,-39.12,-21.47,19.07
670,-58.68,-11.23,19.83
680,-67.48,-5.45,11.98
690,-65.17,-6.56,3.18
700,-57.87,-9.3,0.79
710,-48.96,-10.07,2.85
720,-42.14,-9.86,5.11
730,-35.65,-10.34,5.61
740,-29.02,-11.53,5.54
750,-23.2,-12.83,6.2
760,-19.06,-13.9,7.82
770,-16.15,-14.95,9.86
780,-13.86,-16.14,12.18
790,-11.36,-17.59,14.5
800,-8.9,-18.9,15.86
810,-6.56,-19.99,16.47
820,-4.49,-20.89,16.46
830,-3.01,-21.71,15.97
840,-2.24,-22.88,15.27
850,-2.52,-25.18,14.93
860,-3.25,-29.69,15.48
870,-2.34,-36.24,17.96
880,4.72,-42.04,17.98
890,23.37,-43.2,11.39
900,51.09,-37.82,4.0
910,57.24,-30.66,8.79
920,43.41,-26.43,16.36
930,34.75,-25.74,16.23
940,31.82,-26.33,10.41
950,31.94,-26.7,4.1
960,33.79,-27.56,-0.66
970,34.98,-28.37,-2.04
980,32.48,-29.34,-0.9
990,28.16,-30.68,0.39
1000,23.3,-32.61,1.31
