timestamp,x,y,z
0,-19.58,-3.02,9.18
10,-22.46,-1.79,9.42
20,-24.58,-0.9,10.11
30,-24.95,-0.14,10.21
40,-23.58,-0.09,9.62
50,-20.93,-0.12,8.15
60,-18.53,-0.24,6.26
70,-16.91,-0.32,4.59
80,-15.79,-0.36,3.33
90,-15.04,-0.54,2.59
100,-14.27,-0.9,2.38
110,-13.5,-1.58,2.41
120,-12.27,-2.32,2.83
130,-11.28,-3.43,2.98
140,-10.27,-4.72,3.73
150,-8.8,-6.2,5.04
160,-6.92,-7.89,6.33
170,-5.17,-9.38,7.0
180,-3.34,-10.79,7.58
190,-1.45,-12.24,8.1
200,0.63,-13.43,8.45
210,2.97,-14.36,9.07
220,5.43,-14.87,10.38
230,8.38,-14.38,12.69
240,11.88,-13.01,15.46
250,15.76,-10.54,18.39
260,20.59,-9.97,20.27
270,25.22,-9.22,20.2
280,27.7,-8.32,17.83
290,27.85,-7.88,14.6
300,27.31,-7.56,12.37
310,25.82,-7.12,10.77
320,23.97,-6.66,9.54
330,22.52,-6.22,8.71
340,21.39,-5.84,7.91
350,20.25,-5.67,7.18
360,18.81,-5.7,6.64
370,17.14,-5.9,6.34
380,15.79,-6.07,6.32
390,14.84,-6.16,6.6
400,14.04,-6.3,7.05
410,13.14,-6.68,7.02
420,11.94,-7.48,6.72
430,10.11,-8.49,6.66
440,7.83,-9.42,7.09
450,5.3,-10.25,8.26
460,2.72,-10.74,9.61
470,0.14,-10.58,11.09
480,-2.76,-10.49,13.28
490,-6.33,-10.12,15.23
500,-10.68,-9.38,16.85
510,-15.22,-8.03,17.58
520,-18.91,-6.61,17.6
530,-21.05,-5.18,16.7
540,-21.5,-3.69,15.27
550,-20.41,-1.98,13.84
560,-18.12,-0.4,12.65
570,-15.42,0.63,11.68
580,-12.91,1.41,10.84
590,-10.83,1.94,10.16
600,-9.17,2.17,9.78
610,-8.18,2.37,9.61
620,-7.76,2.54,9.53
630,-7.71,2.8,9.54
640,-7.8,2.93,9.71
650,-7.81,3.0,9.92
660,-7.61,2.92,10.0
670,-7.25,2.56,10.01
680,-6.94,2.17,9.85
690,-6.54,1.73,9.67
700,-6.11,1.25,9.58
710,-5.51,0.85,9.32
720,-4.95,0.39,8.84
730,-4.58,-0.31,8.23
740,-4.2,-1.17,7.73
750,-3.72,-2.08,7.38
760,-2.7,-3.89,7.0
770,-1.75,-5.04,7.12
780,-0.48,-6.19,7.77
790,1.2,-7.35,8.66
800,3.18,-8.32,9.66
810,5.31,-9.15,10.62
820,7.29,-10.13,11.19
830,9.05,-11.38,10.48
840,10.38,-12.18,8.74
850,11.66,-11.89,6.65
860,14.8,-10.73,6.25
870,17.65,-9.42,7.56
880,19.75,-8.14,8.27
890,22.22,-6.97,7.98
900,23.47,-5.91,7.36
910,24.03,-5.3,7.45
920,24.07,-4.88,8.45
930,26.0,-4.61,9.49
940,27.02,-4.36,10.45
950,26.12,-4.64,10.48
960,24.07,-5.45,10.32
970,21.58,-6.75,10.79
980,19.01,-8.11,11.65
990,16.93,-9.34,12.53
1000,14.92,-10.27,13.45
