timestamp,x,y,z
0,11.52,-26.62,28.76
10,11.19,-25.75,28.79
20,10.2,-25.48,28.48
30,8.76,-25.88,27.46
40,6.7,-26.65,26.33
50,3.59,-26.78,25.18
60,0.57,-26.63,24.43
70,-1.82,-26.6,22.33
80,-3.7,-26.18,19.85
90,-4.89,-25.23,17.97
100,-5.54,-24.44,16.82
110,-6.26,-24.23,15.78
120,-6.98,-24.38,13.72
130,-7.92,-23.96,11.8
140,-9.17,-22.53,10.48
150,-9.68,-21.82,9.73
160,-9.64,-21.98,8.37
170,-9.88,-21.76,6.07
180,-9.65,-21.65,3.24
190,-9.65,-21.49,-0.8
200,-9.72,-20.11,-5.15
210,-9.59,-17.54,-8.89
220,-9.09,-14.53,-11.25
230,-8.34,-11.33,-12.13
240,-7.32,-8.91,-11.9
250,-6.2,-6.77,-10.89
260,-5.12,-5.07,-9.48
270,-4.18,-3.57,-7.89
280,-3.19,-2.21,-6.34
290,-2.06,-1.04,-5.17
300,-0.76,-0.28,-4.19
310,0.51,0.01,-3.23
320,1.51,0.0,-2.47
330,2.01,-0.02,-2.07
340,1.89,-0.05,-2.01
350,1.31,0.01,-2.24
360,0.82,0.54,-2.87
370,0.5,0.96,-4.11
380,0.46,0.91,-5.26
390,0.81,0.65,-6.13
400,1.36,0.18,-6.79
410,2.44,-0.4,-7.27
420,3.62,-1.07,-7.75
430,4.4,-1.85,-8.33
440,4.51,-2.84,-8.92
450,3.74,-3.75,-10.15
460,2.61,-4.13,-12.02
470,1.64,-4.46,-14.0
480,1.07,-4.82,-15.55
490,0.92,-5.25,-16.43
500,0.84,-5.84,-16.52
510,0.46,-6.75,-15.65
520,-0.16,-7.84,-14.04
530,-0.83,-9.36,-12.23
540,-1.24,-11.12,-11.31
550,-1.76,-12.93,-11.29
560,-2.4,-15.49,-11.0
570,-3.29,-18.85,-10.3
580,-4.16,-22.94,-8.9
590,-4.9,-27.78,-6.47
600,-5.51,-33.05,-3.53
610,-5.86,-37.88,-1.02
620,-5.84,-42.4,0.99
630,-5.66,-45.44,2.41
640,-4.53,-48.44,3.38
650,-4.24,-52.19,3.55
660,-5.35,-55.0,6.37
670,-6.46,-57.02,11.97
680,-7.13,-58.51,18.27
690,-7.42,-59.57,24.66
700,-7.09,-59.21,31.89
710,-5.69,-56.79,39.49
720,-3.15,-52.22,45.2
730,-0.43,-46.8,47.97
740,1.55,-41.64,48.45
750,2.95,-38.31,47.13
760,3.44,-37.54,43.96
770,2.75,-38.1,38.78
780,1.4,-37.67,34.19
790,-0.42,-36.47,32.12
800,-1.68,-34.92,31.76
810,-2.46,-33.52,32.49
820,-2.34,-32.17,32.39
830,-2.1,-30.68,31.72
840,-2.12,-29.3,33.15
850,-1.31,-28.5,34.14
860,-0.94,-28.11,33.32
870,-1.25,-27.79,30.04
880,-3.05,-27.47,25.38
890,-5.66,-26.68,21.19
900,-8.0,-25.93,17.43
910,-8.94,-24.83,13.4
920,-9.07,-23.99,9.57
930,-9.05,-22.14,5.13
940,-9.33,-19.85,1.33
950,-10.06,-17.54,-2.03
960,-10.58,-14.76,-4.66
970,-10.95,-11.93,-6.32
980,-10.5,-9.62,-6.71
990,-9.45,-7.78,-5.87
1000,-8.1,-6.37,-4.7
