timestamp,x,y,z
0,-2.0,5.63,-4.58
10,-2.22,4.76,-4.58
20,-2.62,3.46,-4.32
30,-3.06,2.15,-3.77
40,-3.99,0.79,-3.38
50,-4.6,-1.43,-3.4
60,-5.02,-3.85,-4.18
70,-5.66,-6.85,-5.17
80,-5.42,-10.73,-5.83
90,-4.44,-15.56,-6.27
100,-3.94,-20.4,-5.55
110,-2.97,-24.88,-3.41
120,-0.89,-28.48,0.05
130,2.4,-30.97,4.43
140,7.57,-32.47,8.42
150,13.62,-31.44,12.08
160,20.48,-30.02,14.76
170,26.68,-26.95,15.99
180,31.56,-23.76,15.54
190,34.92,-20.22,14.18
200,34.27,-17.32,13.34
210,30.17,-15.26,12.0
220,24.35,-14.37,9.91
230,18.5,-14.01,7.35
240,13.14,-13.31,5.0
250,9.02,-12.27,2.95
260,6.02,-11.48,1.06
270,4.32,-10.86,-0.38
280,3.31,-10.3,-1.22
290,3.04,-9.88,-1.33
300,3.64,-9.65,-0.96
310,4.7,-9.36,-0.27
320,5.94,-9.23,0.61
330,7.28,-9.28,1.34
340,8.18,-9.12,1.96
350,8.67,-8.98,2.88
360,9.11,-8.95,3.8
370,9.68,-9.11,4.51
380,10.16,-9.21,4.75
390,10.72,-9.25,4.84
400,11.26,-9.17,5.08
410,11.23,-9.09,5.46
420,11.37,-9.0,5.93
430,11.25,-8.7,6.7
440,11.26,-8.43,7.6
450,11.7,-8.24,8.82
460,12.81,-8.27,10.81
470,14.38,-8.57,13.04
480,15.79,-9.14,14.74
490,16.98,-9.85,16.26
500,17.8,-10.91,17.42
510,18.09,-12.52,18.09
520,17.76,-14.66,17.42
530,16.5,-16.68,14.65
540,14.02,-17.99,10.96
550,10.8,-18.13,7.88
560,7.44,-17.5,5.77
570,4.34,-15.73,4.29
580,0.99,-13.3,3.48
590,-1.67,-10.41,2.28
600,-3.84,-7.58,0.68
610,-5.38,-4.9,-1.62
620,-6.47,-1.89,-3.59
630,-7.14,1.01,-4.34
640,-7.13,3.27,-4.81
650,-6.44,4.87,-5.44
660,-5.7,5.95,-6.16
670,-4.7,6.67,-6.62
680,-3.61,7.24,-6.73
690,-2.42,7.63,-6.47
700,-0.89,7.73,-5.83
710,0.44,7.69,-4.94
720,1.3,7.73,-4.01
730,2.13,7.98,-2.95
740,2.64,7.95,-1.67
750,3.06,7.99,-0.46
760,3.36,8.08,0.36
770,3.19,8.13,0.69
780,2.81,8.16,0.5
790,2.38,8.2,-0.0
800,1.98,8.21,-0.65
810,1.94,8.31,-1.22
820,2.0,8.46,-1.61
830,2.14,8.5,-1.93
840,2.27,8.53,-2.26
850,2.36,8.61,-2.49
860,2.49,8.67,-2.44
870,2.78,8.66,-2.1
880,3.05,8.7,-1.6
890,3.09,8.84,-1.22
900,3.03,8.96,-1.02
910,2.79,9.01,-0.96
920,2.65,9.01,-0.92
930,2.6,9.06,-0.75
940,2.56,9.16,-0.52
950,2.44,9.26,-0.4
960,2.24,9.28,-0.52
970,2.1,9.24,-0.7
980,2.19,9.22,-0.81
990,2.37,9.17,-0.77
1000,2.62,9.3,-0.66
