timestamp,x,y,z
0,-8.52,-1.71,-8.08
10,-8.23,-0.49,-9.82
20,-7.32,0.76,-11.05
30,-6.07,2.19,-11.65
40,-4.61,3.52,-10.99
50,-3.37,4.59,-9.3
60,-2.84,5.59,-7.41
70,-2.68,6.3,-5.51
80,-2.58,6.8,-3.63
90,-3.08,7.31,-1.96
100,-4.1,7.8,-0.73
110,-5.54,8.19,1.01
120,-7.18,8.37,3.09
130,-8.2,8.39,5.2
140,-8.3,8.39,6.3
150,-7.71,8.41,6.01
160,-6.75,8.36,4.64
170,-5.27,8.14,2.84
180,-3.95,7.95,1.71
190,-2.92,7.68,0.79
200,-2.14,7.36,-0.04
210,-1.07,6.94,-0.64
220,0.41,6.39,-1.02
230,2.63,5.72,-1.36
240,5.79,5.11,-2.32
250,8.85,4.86,-4.2
260,11.41,4.21,-6.69
270,12.88,2.62,-8.71
280,13.7,1.32,-10.98
290,13.82,0.12,-13.12
300,13.49,-2.72,-13.23
310,12.3,-5.49,-11.98
320,10.48,-10.2,-8.31
330,10.44,-14.58,-4.43
340,11.0,-21.1,0.49
350,8.04,-27.08,5.04
360,0.15,-29.75,11.89
370,-6.87,-27.24,21.02
380,-10.02,-21.44,29.59
390,-9.16,-16.39,42.31
400,-5.26,-11.92,49.98
410,-2.76,-9.93,52.91
420,-3.49,-9.13,50.01
430,-4.72,-9.03,44.05
440,-4.3,-10.35,36.66
450,-3.16,-11.69,28.86
460,-3.56,-9.62,20.46
470,-3.4,-7.68,15.07
480,-3.03,-5.86,12.05
490,-2.68,-4.54,10.77
500,-2.55,-3.91,10.26
510,-2.76,-3.74,10.33
520,-2.98,-4.0,10.24
530,-2.53,-4.38,8.99
540,-3.5,-4.03,6.68
550,-5.52,-3.12,4.19
560,-7.8,-2.12,2.55
570,-9.09,-1.4,1.36
580,-9.7,-0.79,0.13
590,-9.25,-0.23,-0.48
600,-8.2,0.34,-1.66
610,-7.64,1.18,-2.48
620,-6.98,2.35,-3.49
630,-6.71,3.37,-3.67
640,-6.0,4.33,-2.68
650,-5.3,4.81,-1.3
660,-5.19,5.16,0.5
670,-5.39,5.32,2.41
680,-5.56,5.47,4.05
690,-4.8,5.29,4.72
700,-3.76,5.32,4.99
710,-1.92,5.26,4.33
720,0.08,5.17,3.16
730,2.58,4.98,2.19
740,5.42,4.83,1.13
750,8.74,4.61,-0.73
760,12.25,4.33,-3.4
770,15.0,3.93,-6.6
780,16.47,3.23,-9.81
790,15.94,2.17,-12.69
800,14.19,0.97,-13.6
810,12.39,-1.43,-12.57
820,10.54,-4.63,-9.62
830,9.24,-8.4,-5.45
840,7.67,-12.71,-1.06
850,5.15,-17.95,2.81
860,-0.27,-21.93,6.79
870,-6.82,-23.86,13.15
880,-11.44,-21.87,20.67
890,-13.18,-16.99,28.42
900,-10.15,-12.88,34.68
910,-6.36,-10.07,38.38
920,-3.96,-8.76,37.07
930,-3.83,-7.9,33.57
940,-4.33,-7.35,29.63
950,-4.19,-6.94,26.48
960,-3.46,-6.53,24.55
970,-2.82,-6.04,23.25
980,-3.13,-5.88,22.51
990,-3.86,-6.12,22.03
1000,-4.06,-5.97,21.7
