timestamp,x,y,z
0,-6.61,5.55,-5.17
10,-6.99,5.45,-5.37
20,-7.15,5.24,-5.44
30,-7.12,4.99,-5.6
40,-6.75,4.83,-5.57
50,-6.06,4.83,-5.82
60,-5.56,4.58,-5.92
70,-5.12,4.42,-6.04
80,-4.82,4.33,-5.87
90,-4.38,3.45,-5.48
100,-4.21,2.33,-5.54
110,-4.03,0.99,-5.4
120,-3.94,-0.91,-5.33
130,-3.81,-3.13,-5.38
140,-3.24,-5.41,-5.39
150,-2.61,-8.54,-5.25
160,-1.47,-12.12,-4.92
170,-0.18,-15.46,-3.63
180,0.45,-18.98,-0.7
190,0.65,-22.18,3.01
200,1.57,-24.99,5.62
210,3.34,-27.13,6.97
220,5.81,-28.54,8.72
230,10.23,-28.56,12.5
240,16.43,-27.3,16.74
250,22.75,-25.33,20.51
260,28.97,-21.93,22.64
270,33.24,-18.62,22.22
280,36.09,-15.16,20.03
290,37.34,-12.69,16.85
300,32.88,-11.21,13.05
310,27.19,-11.02,10.28
320,21.34,-11.74,8.89
330,16.03,-11.55,7.37
340,11.21,-10.98,4.78
350,7.72,-10.15,2.49
360,5.87,-9.22,1.16
370,5.86,-8.6,1.52
380,7.9,-8.01,3.31
390,10.91,-7.59,5.51
400,13.98,-7.15,7.13
410,16.84,-6.98,8.54
420,18.88,-7.24,9.66
430,19.7,-7.49,10.38
440,20.24,-7.89,11.3
450,20.53,-8.57,12.72
460,20.95,-9.63,14.59
470,21.61,-11.08,16.26
480,21.61,-13.07,16.82
490,20.66,-15.49,16.02
500,18.83,-18.12,14.37
510,15.34,-19.98,12.07
520,11.29,-20.18,10.47
530,7.39,-19.21,9.09
540,3.82,-17.29,7.18
550,-0.12,-13.85,5.25
560,-3.71,-9.72,3.71
570,-5.87,-6.35,2.38
580,-7.09,-3.93,1.08
590,-7.81,-2.17,-0.72
600,-8.32,-0.54,-1.63
610,-7.74,1.64,-3.53
620,-7.9,3.01,-4.58
630,-7.7,3.93,-4.98
640,-7.03,4.81,-5.66
650,-6.45,5.39,-5.97
660,-5.94,5.86,-6.25
670,-5.03,6.03,-5.9
680,-3.91,6.12,-5.15
690,-3.37,6.26,-4.53
700,-3.09,6.4,-4.03
710,-3.11,6.52,-3.67
720,-3.53,6.51,-3.29
730,-4.25,6.48,-3.09
740,-4.92,6.42,-3.1
750,-5.43,6.39,-3.3
760,-5.82,6.32,-3.41
770,-6.0,6.25,-3.54
780,-6.18,6.21,-3.75
790,-6.09,6.16,-3.93
800,-5.85,6.07,-4.09
810,-5.63,6.11,-4.14
820,-5.38,6.2,-4.16
830,-5.22,6.4,-4.0
840,-5.16,6.45,-3.76
850,-5.4,6.49,-3.65
860,-5.79,6.59,-3.58
870,-6.02,6.68,-3.58
880,-6.0,6.81,-3.38
890,-5.9,6.92,-3.15
900,-5.81,7.03,-3.11
910,-5.6,7.08,-3.17
920,-5.2,7.19,-3.18
930,-4.76,7.26,-3.12
940,-4.52,7.39,-3.09
950,-4.29,7.53,-3.14
960,-4.21,7.69,-3.14
970,-4.13,7.84,-3.06
980,-4.06,7.99,-2.95
990,-3.97,8.15,-2.76
1000,-3.91,8.28,-2.61
