timestamp,x,y,z
0,-2.25,-1.83,17.48
10,-2.86,-1.5,16.25
20,-3.16,-1.3,15.12
30,-3.22,-1.25,14.03
40,-3.39,-1.32,12.93
50,-3.78,-1.48,11.7
60,-4.36,-1.66,10.35
70,-5.03,-1.81,8.94
80,-5.63,-1.87,7.74
90,-6.18,-1.88,6.73
100,-6.41,-1.89,5.81
110,-6.6,-1.95,5.0
120,-6.61,-2.07,4.24
130,-6.57,-2.18,3.62
140,-6.51,-2.35,3.12
150,-6.43,-2.51,2.77
160,-6.41,-2.73,2.49
170,-6.18,-3.07,2.41
180,-5.88,-3.49,2.2
190,-5.83,-4.07,1.73
200,-5.87,-4.91,1.08
210,-5.69,-6.23,0.08
220,-4.96,-8.08,-0.85
230,-2.74,-10.21,-1.5
240,1.82,-11.85,-1.58
250,7.34,-12.51,-2.59
260,13.17,-12.04,-3.96
270,18.61,-11.08,-5.2
280,21.3,-9.99,-6.01
290,20.98,-9.61,-6.53
300,19.64,-9.96,-5.47
310,20.54,-10.01,-2.98
320,23.56,-9.45,-0.44
330,27.82,-8.78,0.69
340,31.9,-7.94,0.4
350,35.02,-7.04,-0.41
360,35.88,-6.33,-0.44
370,34.33,-5.94,0.65
380,31.68,-6.07,2.04
390,29.28,-6.1,4.4
400,27.29,-6.04,5.13
410,25.18,-5.96,6.9
420,22.74,-5.63,9.23
430,20.59,-5.39,10.62
440,18.31,-5.39,11.41
450,16.28,-5.36,12.36
460,14.61,-5.3,13.96
470,13.14,-5.35,16.34
480,11.07,-5.54,18.5
490,8.09,-5.85,19.72
500,4.61,-6.16,20.05
510,1.18,-6.52,19.76
520,-2.13,-6.58,19.13
530,-4.9,-6.34,18.34
540,-6.95,-5.7,18.08
550,-8.38,-5.02,17.74
560,-9.5,-4.57,16.47
570,-10.41,-4.23,14.85
580,-11.01,-3.98,13.2
590,-11.18,-3.97,11.58
600,-11.13,-4.13,9.85
610,-10.78,-4.37,8.09
620,-10.02,-4.72,6.56
630,-9.03,-5.14,5.24
640,-8.24,-5.41,4.22
650,-7.7,-5.79,3.63
660,-6.94,-6.64,3.5
670,-6.08,-7.98,3.59
680,-4.91,-10.16,4.07
690,-3.36,-13.7,4.32
700,-0.13,-18.62,3.63
710,5.36,-23.3,-2.4
720,10.96,-25.78,-14.92
730,18.15,-24.96,-26.16
740,29.3,-21.06,-25.99
750,34.31,-16.06,-19.55
760,35.9,-12.25,-14.78
770,37.0,-9.8,-13.52
780,35.21,-9.45,-10.56
790,31.8,-10.01,-4.53
800,29.17,-10.56,1.63
810,27.85,-10.62,6.39
820,27.38,-10.03,10.21
830,27.53,-8.86,14.04
840,27.83,-7.86,17.82
850,27.03,-7.47,21.24
860,25.1,-7.72,24.85
870,22.77,-7.93,27.64
880,18.6,-8.13,29.3
890,12.75,-8.18,28.8
900,10.01,-9.39,30.1
910,4.65,-9.3,28.78
920,-0.56,-8.22,26.95
930,-4.12,-6.85,26.74
940,-6.39,-5.37,27.06
950,-7.61,-4.2,26.86
960,-8.61,-3.3,24.95
970,-9.3,-2.67,22.22
980,-9.41,-2.19,19.47
990,-8.82,-1.96,17.03
1000,-7.8,-1.82,14.6
