timestamp,x,y,z
0,-0.14,5.42,-1.3
10,0.15,5.11,-1.42
20,0.51,4.71,-1.58
30,0.95,4.31,-1.73
40,1.58,4.0,-1.81
50,2.66,4.01,-1.66
60,4.09,3.89,-1.18
70,5.73,3.58,-0.24
80,7.35,3.22,1.02
90,8.77,2.46,2.56
100,9.73,1.48,4.11
110,10.41,0.4,5.78
120,11.22,-0.26,7.97
130,12.22,-0.93,10.65
140,13.21,-1.5,13.8
150,13.86,-1.77,17.17
160,14.08,-2.17,20.31
170,13.8,-2.72,22.61
180,12.89,-3.18,23.76
190,11.55,-3.45,23.99
200,9.97,-3.56,23.84
210,8.61,-3.52,23.6
220,7.62,-3.26,23.22
230,6.63,-2.94,22.44
240,5.43,-2.88,21.06
250,4.08,-2.84,19.14
260,2.58,-2.76,17.16
270,0.79,-2.62,15.47
280,-1.11,-2.24,14.43
290,-2.65,-1.64,13.93
300,-3.78,-1.1,13.63
310,-4.79,-0.52,13.04
320,-5.67,0.1,12.01
330,-6.45,0.79,10.53
340,-6.96,1.43,8.81
350,-7.24,2.07,7.07
360,-7.36,2.93,5.27
370,-7.2,3.55,3.9
380,-6.85,4.09,2.89
390,-6.26,4.64,2.04
400,-5.52,5.02,1.38
410,-4.72,5.37,0.76
420,-3.95,5.57,0.08
430,-3.3,5.79,-0.77
440,-2.7,6.05,-1.64
450,-2.12,6.08,-2.45
460,-1.69,6.11,-3.07
470,-1.26,6.08,-3.44
480,-0.77,5.97,-3.56
490,-0.23,6.05,-3.53
500,0.38,5.77,-3.22
510,1.07,5.5,-2.78
520,1.66,4.97,-2.26
530,2.11,4.48,-1.73
540,2.9,4.44,-1.32
550,4.12,4.35,-0.88
560,5.51,3.82,-0.2
570,6.9,3.21,0.65
580,8.16,2.84,1.48
590,9.5,2.84,2.34
600,10.87,2.9,3.29
610,12.02,2.75,4.36
620,12.68,2.09,5.64
630,12.88,1.73,7.08
640,12.57,1.38,8.48
650,11.87,0.94,9.59
660,10.86,0.36,10.55
670,9.9,-0.08,11.49
680,9.23,-0.29,12.57
690,9.1,-0.64,14.01
700,9.22,-0.75,15.72
710,9.58,-1.15,17.52
720,10.02,-1.53,19.08
730,9.97,-2.06,20.0
740,9.18,-2.39,20.27
750,8.01,-2.37,20.04
760,6.85,-2.12,19.86
770,5.96,-1.94,19.91
780,5.15,-1.94,20.16
790,4.29,-1.94,20.03
800,3.29,-1.93,19.14
810,2.07,-1.84,17.67
820,0.74,-1.72,15.95
830,-0.48,-1.5,14.41
840,-1.58,-1.11,13.19
850,-2.56,-0.65,12.25
860,-3.37,0.06,11.45
870,-4.01,0.83,10.56
880,-4.49,1.58,9.37
890,-4.88,2.18,8.13
900,-5.29,2.71,6.84
910,-5.56,3.28,5.54
920,-5.69,4.02,4.44
930,-5.61,4.7,3.55
940,-5.26,5.17,2.88
950,-4.75,5.64,2.44
960,-4.13,6.02,2.13
970,-3.48,6.32,1.94
980,-2.99,6.5,1.74
990,-2.76,6.73,1.47
