timestamp,x,y,z
0,-9.34,-1.36,12.68
10,-8.84,-0.88,10.26
20,-8.43,-0.43,7.99
30,-7.98,0.15,6.15
40,-7.83,0.65,4.65
50,-7.61,1.13,3.39
60,-7.39,1.56,2.5
70,-7.08,1.87,1.84
80,-6.72,2.11,1.41
90,-6.3,2.22,1.07
100,-5.81,2.39,0.73
110,-5.13,2.5,0.51
120,-4.23,2.63,0.38
130,-3.19,2.68,0.4
140,-2.12,2.64,0.46
150,-1.12,2.57,0.41
160,-0.25,2.55,0.32
170,0.47,2.62,0.25
180,1.08,2.71,0.24
190,1.67,2.73,0.4
200,2.26,2.68,0.68
210,2.88,2.54,1.05
220,3.48,2.3,1.43
230,4.18,2.03,1.81
240,4.94,1.62,2.26
250,5.66,1.2,2.82
260,6.33,0.77,3.57
270,7.01,0.4,4.62
280,7.57,-0.16,6.02
290,7.93,-0.78,7.67
300,8.24,-1.41,9.53
310,8.41,-2.0,11.68
320,8.27,-2.47,13.81
330,7.88,-2.89,15.74
340,7.24,-3.19,17.41
350,6.23,-3.52,18.87
360,4.9,-3.99,20.26
370,3.43,-4.55,21.68
380,1.64,-5.2,23.28
390,-0.27,-5.77,24.51
400,-2.37,-6.13,25.26
410,-4.55,-6.24,25.3
420,-6.68,-6.14,24.71
430,-8.68,-5.87,23.78
440,-10.3,-5.51,22.77
450,-11.37,-5.09,21.64
460,-11.89,-4.69,20.35
470,-12.04,-4.24,18.85
480,-11.88,-3.78,17.05
490,-11.51,-3.27,15.05
500,-11.04,-2.75,12.95
510,-10.58,-2.26,10.89
520,-10.2,-1.72,8.94
530,-9.79,-1.13,7.19
540,-9.33,-0.66,5.6
550,-8.74,-0.13,4.32
560,-8.37,0.33,3.26
570,-7.79,0.8,2.24
580,-7.03,1.27,1.34
590,-6.2,1.66,0.67
600,-5.23,1.94,0.1
610,-4.36,2.19,-0.23
620,-3.55,2.38,-0.27
630,-2.8,2.44,-0.14
640,-2.09,2.39,0.11
650,-1.48,2.36,0.43
660,-0.91,2.26,0.72
670,-0.29,2.25,0.85
680,0.39,2.24,1.01
690,1.16,2.12,1.14
700,1.99,1.96,1.32
710,2.91,1.78,1.57
720,3.85,1.49,1.84
730,4.79,1.2,2.24
740,5.7,0.81,2.77
750,6.62,0.35,3.39
760,7.44,-0.07,4.23
770,8.09,-0.47,5.28
780,8.54,-0.74,6.41
790,8.87,-1.25,7.6
800,8.99,-1.9,8.87
810,8.82,-2.38,10.23
820,8.37,-2.82,11.65
830,7.73,-3.32,13.08
840,6.86,-3.77,14.52
850,5.83,-4.27,16.1
860,4.73,-4.87,17.84
870,3.56,-5.42,19.7
880,2.25,-5.88,21.52
890,0.61,-6.25,22.98
900,-1.05,-6.41,23.71
910,-2.84,-6.5,23.93
920,-4.64,-6.54,23.86
930,-6.43,-6.39,23.63
940,-7.99,-6.17,23.35
950,-9.25,-5.87,22.79
960,-10.23,-5.54,21.93
970,-10.84,-5.14,20.71
980,-11.2,-4.72,19.15
990,-11.3,-4.16,17.34
1000,-11.19,-3.62,15.57
