timestamp,x,y,z
0,30.94,-8.19,10.5
10,29.51,-7.68,12.56
20,28.32,-7.98,14.22
30,26.89,-8.49,15.86
40,24.82,-8.7,16.63
50,22.92,-8.9,17.54
60,20.97,-9.26,18.21
70,19.54,-9.52,18.42
80,18.35,-9.66,17.75
90,17.36,-9.55,17.37
100,16.91,-9.11,17.8
110,16.34,-8.96,18.36
120,15.3,-9.3,18.92
130,12.96,-10.1,19.22
140,9.22,-10.99,19.51
150,4.7,-11.44,19.61
160,0.65,-10.45,19.72
170,-1.35,-8.83,20.63
180,-1.89,-7.67,18.9
190,-2.29,-6.89,15.66
200,-3.16,-6.45,12.07
210,-3.66,-5.79,10.24
220,-3.87,-5.05,7.96
230,-4.01,-4.43,6.49
240,-4.36,-3.68,5.66
250,-4.88,-3.28,5.1
260,-5.51,-2.73,4.75
270,-5.87,-2.32,4.07
280,-6.06,-1.94,3.24
290,-5.86,-1.66,2.27
300,-5.15,-1.49,1.2
310,-4.19,-1.46,0.05
320,-3.1,-1.68,-1.37
330,-2.15,-2.02,-3.06
340,-1.5,-2.58,-4.4
350,-1.23,-3.08,-5.3
360,-0.86,-3.85,-6.11
370,-0.49,-5.21,-6.94
380,0.32,-7.23,-7.24
390,1.7,-9.5,-6.68
400,3.35,-11.74,-5.12
410,5.01,-13.7,-2.97
420,6.36,-15.46,-0.66
430,7.73,-16.92,1.11
440,9.62,-18.1,2.3
450,12.5,-18.84,3.37
460,16.58,-18.95,4.19
470,21.08,-17.99,4.89
480,25.73,-16.44,5.55
490,31.11,-14.41,6.84
500,34.94,-12.5,9.58
510,37.0,-10.92,12.28
520,36.49,-10.42,14.71
530,33.54,-11.02,17.27
540,29.65,-11.92,19.65
550,25.54,-12.55,21.9
560,22.17,-12.61,23.97
570,19.96,-11.61,24.61
580,18.97,-10.34,23.49
590,18.14,-9.93,21.57
600,18.45,-9.89,20.11
610,18.62,-9.89,18.35
620,18.24,-9.94,16.42
630,17.96,-10.41,15.02
640,16.77,-11.79,14.28
650,13.94,-14.07,14.27
660,9.56,-15.53,15.75
670,4.02,-16.3,16.5
680,-1.31,-15.23,15.16
690,-4.44,-13.56,14.2
700,-6.76,-11.72,12.61
710,-8.41,-10.21,10.31
720,-9.37,-8.47,8.0
730,-9.99,-6.72,6.88
740,-10.42,-5.1,6.32
750,-10.59,-3.78,5.96
760,-10.77,-2.86,5.68
770,-10.66,-2.19,5.74
780,-10.08,-1.67,6.0
790,-9.34,-1.39,6.24
800,-8.5,-1.35,6.42
810,-7.63,-1.47,6.46
820,-6.94,-1.75,6.12
830,-6.43,-2.22,5.72
840,-5.72,-3.02,5.02
850,-4.78,-4.18,4.0
860,-3.53,-5.65,2.81
870,-1.97,-7.0,2.23
880,-0.11,-8.32,1.69
890,2.1,-10.0,0.73
900,4.3,-11.91,-0.21
910,6.3,-13.91,-1.43
920,7.84,-15.66,-2.95
930,9.75,-16.74,-3.2
940,12.17,-17.13,-2.21
950,14.96,-16.81,-1.39
960,18.26,-15.85,-0.35
970,21.87,-14.41,0.77
980,25.74,-12.55,1.08
990,29.38,-10.65,1.16
1000,32.51,-9.0,2.35
